mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score
5.18257196744283,0.5236110956498753,2.181661049524943,0.5506864001320022,20,sqrt,5,10,100,"{'max_depth': 20, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'min_samples_split': 10, 'n_estimators': 100}",0.43170976486060586,0.4361995950772063,0.44278244264556244,0.43689726752779157,0.004547241542488289,92,0.525281222493269,0.5105629030181985,0.502509704927069,0.5127846101461788,0.009428237374639643
6.123740355173747,0.29935229176452427,0.9005502065022787,0.0749540093127561,20,sqrt,5,10,200,"{'max_depth': 20, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'min_samples_split': 10, 'n_estimators': 200}",0.431693082144613,0.4365073028875167,0.44419144385897724,0.43746394296370233,0.0051470788843313705,91,0.524257792546293,0.5110771099190541,0.5049987609135501,0.5134445544596323,0.00803870512364122
4.0434489250183105,1.255819417954023,3.25072979927063,0.564234747700282,20,sqrt,5,10,300,"{'max_depth': 20, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'min_samples_split': 10, 'n_estimators': 300}",0.4312439870900716,0.43415212880680754,0.4449902059652078,0.4367954406206957,0.005914950343542919,93,0.5232882774620851,0.5085936592865659,0.5061677807654825,0.5126832391713778,0.007564009056502975
1.8506657282511394,0.05447324995997058,4.037767966588338,0.7250460571410939,20,sqrt,5,13,100,"{'max_depth': 20, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'min_samples_split': 13, 'n_estimators': 100}",0.4326804169095102,0.4330935994018005,0.4430763495498742,0.43628345528706164,0.0048062625321759565,95,0.5253970034302564,0.5049184716282573,0.5001829049169348,0.5101661266584828,0.010942001750047378
4.172729571660359,0.8738676778498355,3.251164118448893,0.39237284641983405,20,sqrt,5,13,200,"{'max_depth': 20, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'min_samples_split': 13, 'n_estimators': 200}",0.43083623851871267,0.4344160910138074,0.44459119449416484,0.436614508008895,0.005826633186490821,94,0.5212180793453096,0.5083812087511679,0.5020619628000762,0.5105537502988512,0.007969908107205466
6.322933117548625,0.3719783610896834,1.7904565334320068,0.08276894458142113,20,sqrt,5,13,300,"{'max_depth': 20, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'min_samples_split': 13, 'n_estimators': 300}",0.42900855575464425,0.43461723384830386,0.4448441698078901,0.43615665313694607,0.006555863885129715,96,0.5178573979938554,0.5083713783054212,0.5027981205768108,0.5096756322920292,0.00621671231048826
4.646172682444255,0.32147133577176606,2.6690587202707925,0.43528401886508145,20,sqrt,5,15,100,"{'max_depth': 20, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'min_samples_split': 15, 'n_estimators': 100}",0.4293974382817718,0.4354953174711502,0.44318843682751397,0.4360270641934787,0.005642692983242189,97,0.516298732943893,0.5082451915016658,0.49831342552426117,0.5076191166566066,0.007355804874536273
5.536725997924805,0.7004472115115119,1.7108017603556316,0.7361047895864883,20,sqrt,5,15,200,"{'max_depth': 20, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'min_samples_split': 15, 'n_estimators': 200}",0.42797436393286414,0.4322283895410324,0.44384858153520823,0.43468377833636823,0.006709167694224495,101,0.514474136018245,0.5031628074472194,0.4976121171076461,0.5050830201910368,0.0070165201808060525
5.3956708908081055,1.66567091561765,1.7676746050516765,1.3977104137048784,20,sqrt,5,15,300,"{'max_depth': 20, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'min_samples_split': 15, 'n_estimators': 300}",0.4275416957736241,0.43269664056766777,0.44384969701309174,0.4346960111181279,0.006806165736798499,100,0.5134350990477722,0.5032226025059279,0.4979921892710323,0.5048832969415774,0.006412970975534937
1.606440544128418,0.21640948838783983,3.30619740486145,0.28952829188334794,20,log2,3,10,100,"{'max_depth': 20, 'max_features': 'log2', 'min_samples_leaf': 3, 'min_samples_split': 10, 'n_estimators': 100}",0.4237125216540476,0.42239904209233536,0.43630539038147365,0.4274723180426189,0.006268901144929095,118,0.5248632114693236,0.5070258721154015,0.5097399448010693,0.5138763427952647,0.007847505339555687
2.7081188360850015,0.45429275550876835,3.895190715789795,0.12255315898613026,20,log2,3,10,200,"{'max_depth': 20, 'max_features': 'log2', 'min_samples_leaf': 3, 'min_samples_split': 10, 'n_estimators': 200}",0.4206915885134731,0.42128671618050373,0.43671293316553905,0.42623041261983863,0.007416242174142283,119,0.5200547271834284,0.5060535845629428,0.5086907037530142,0.5115996718331285,0.006074787795368505
5.319287061691284,0.10479037382011375,1.9324193795522053,0.07852315418328075,20,log2,3,10,300,"{'max_depth': 20, 'max_features': 'log2', 'min_samples_leaf': 3, 'min_samples_split': 10, 'n_estimators': 300}",0.4187931461462653,0.4193511985567576,0.43460144377999677,0.4242485961610066,0.007324112960613388,121,0.5182450071055136,0.5028149025329026,0.5064749039510151,0.5091782711964772,0.006582966789541268
2.8757201035817466,0.480039739535474,3.6109672387441,0.2528960192480063,20,log2,3,13,100,"{'max_depth': 20, 'max_features': 'log2', 'min_samples_leaf': 3, 'min_samples_split': 13, 'n_estimators': 100}",0.4196257453582086,0.422145145848424,0.43447999374383495,0.4254169616501559,0.006490544802804424,120,0.515202898767958,0.4986540810301373,0.5022739237870528,0.505376967861716,0.007103403129340144
4.581231037775676,0.5693075586926644,2.2251179218292236,0.5794748174775032,20,log2,3,13,200,"{'max_depth': 20, 'max_features': 'log2', 'min_samples_leaf': 3, 'min_samples_split': 13, 'n_estimators': 200}",0.41784729042506796,0.42130333357081984,0.4319393689671339,0.4236966643210072,0.005996815458712698,126,0.5119972279790563,0.49834828940948406,0.498061461994041,0.5028023264608605,0.006502831585217473
